Date,Time
1,15
2,16.9
3,17
4,17.1
5,16.9
6,16.9
7,16.8
1,17.2
2,17.2
3,17.2
4,16.9
5,16.7
6,17.3
7,17.2
1,17.1
2,16.8
3,17.7
4,16.8
5,16.6
6,17
7,17.3
1,17
2,17.3
3,16.5
4,16.9
5,17.2
6,16.8
7,16.8
1,17.1
2,16.9
3,17.2
4,16.6
5,17.1
6,16.7
7,17.5
1,17
2,16.9
3,16.8
4,16.5
5,17.2
6,17.4
7,17.2
1,17.1
2,17.5
3,17.2
4,16.6
5,17.1
6,16.9
7,17
1,17.3
2,16.9
3,17.1
4,16.8
5,17.2
6,16.7
7,16.6
1,16.8
2,17
3,17.4
4,17
5,17.2
6,17.2
7,17.2
1,17.1
2,16.7
3,16.9
4,17.6
5,16.9
6,17.5
7,17
1,17.4
2,16.6
3,17.3
4,17
5,17
6,17.2
7,17
1,16.9
2,16.6
3,16.8
4,17.3
5,16.9
6,16.9
7,16.8
1,16.9
2,17
3,16.9
4,16.8
5,17.2
